1478195721.903877,0545,8,d8,00,00,8a,00,00,00,00,R
1478195721.905736,02b0,5,ff,7f,00,05,49,R,,,
1478195721.908437,0002,8,00,00,00,00,00,01,07,15,R
1478195721.908676,0153,8,00,21,10,ff,00,ff,00,00,R
1478195721.909414,0130,8,19,80,00,ff,fe,7f,07,60,R
1478195721.909660,0131,8,17,80,00,00,65,7f,07,9f,R
1478195721.909905,0140,8,00,00,00,00,02,20,27,a8,R
1478195721.910145,0350,8,05,20,14,68,78,00,00,21,R
1478195721.910389,02c0,8,15,00,00,00,00,00,00,00,R
1478195721.910636,0370,8,00,20,00,00,00,00,00,00,R
1478195721.910878,043f,8,10,40,60,ff,7d,8c,09,00,R
1478195721.911120,0440,8,ff,00,00,00,ff,8c,09,00,R
1478195721.911955,04f0,8,00,00,00,80,00,67,d1,13,R
1478195721.912659,0316,8,05,21,28,0a,21,1e,00,6f,R
1478195721.912901,018f,8,fe,57,00,00,00,41,00,00,R
1478195721.913135,0260,8,18,21,21,30,08,8f,71,05,R
1478195721.913370,02a0,8,04,00,99,1d,97,02,bd,00,R
1478195721.913607,0329,8,0c,b8,7f,14,11,20,00,14,R
1478195721.913844,0545,8,d8,55,00,8c,00,00,00,00,R
1478195721.915732,02b0,5,ff,7f,00,05,7a,R,,,
1478195721.918460,0430,8,00,00,00,00,00,00,00,00,R
1478195721.918689,04b1,8,29,27,27,23,00,00,00,9a,R
1478195721.918936,01f1,8,08,00,00,00,00,00,00,00,R
1478195721.919174,0153,8,00,21,10,ff,00,ff,00,00,R
1478195721.919420,0002,8,00,00,00,00,00,01,08,ae,R
1478195721.919661,00a0,8,58,82,28,0a,00,1f,02,00,R
1478195721.919900,00a1,8,7e,8a,00,00,22,00,00,00,R
1478195721.920138,0350,8,05,20,24,68,78,00,00,11,R
1478195721.920389,02c0,8,15,00,00,00,00,00,00,00,R
1478195721.920631,0130,8,1f,80,00,ff,f7,7f,08,8b,R
1478195721.920871,0131,8,17,80,00,00,68,7f,08,a1,R
1478195721.921109,0140,8,00,00,00,00,04,22,28,8e,R
1478195721.921358,0370,8,00,20,00,00,00,00,00,00,R
1478195721.921601,043f,8,10,40,60,ff,7d,8b,09,00,R
1478195721.921842,0440,8,ff,00,00,00,ff,8b,09,00,R
1478195721.922089,0690,8,00,00,01,00,a0,02,00,00,R
1478195721.922713,0316,8,05,21,28,0a,21,1e,00,6f,R
1478195721.922954,018f,8,fe,57,00,00,00,41,00,00,R
1478195721.923188,0260,8,18,21,21,30,08,8f,70,17,R
1478195721.923424,02a0,8,24,00,99,1d,97,02,bd,00,R
1478195721.923663,0329,8,40,b8,7f,14,11,20,00,14,R
1478195721.923904,0545,8,d8,00,00,8a,00,00,00,00,R
1478195721.925739,02b0,5,ff,7f,00,05,6b,R,,,
1478195721.928435,0002,8,00,00,00,00,00,01,09,b3,R
1478195721.928673,0153,8,00,21,10,ff,00,ff,00,00,R
1478195721.929428,0130,8,1e,80,00,ff,05,80,09,01,R
1478195721.929659,0131,8,fb,7f,00,00,54,7f,09,3c,R
1478195721.929900,0140,8,00,00,00,00,06,26,29,bd,R
1478195721.930140,0350,8,05,20,34,68,78,00,00,01,R
1478195721.930390,02c0,8,15,00,00,00,00,00,00,00,R
1478195721.930640,0370,8,00,20,00,00,00,00,00,00,R
1478195721.930883,043f,8,10,40,60,ff,7d,8d,09,00,R
1478195721.931122,0440,8,ff,00,00,00,ff,8d,09,00,R
1478195721.932011,04f0,8,00,00,00,80,00,67,d1,13,R
1478195721.932855,0316,8,05,21,28,0a,21,1e,00,6f,R
1478195721.933096,018f,8,fe,57,00,00,00,41,00,00,R
1478195721.933333,0260,8,18,21,21,30,08,8f,70,28,R
1478195721.933567,02a0,8,44,00,99,1d,97,02,bd,00,R
1478195721.933806,0329,8,40,b8,7f,14,11,20,00,14,R
1478195721.934050,0545,8,d8,00,00,89,00,00,00,00,R
1478195721.935735,02b0,5,ff,7f,00,05,1c,R,,,
1478195721.938461,0430,8,00,00,00,00,00,00,00,00,R
1478195721.938690,04b1,8,29,27,27,23,00,00,00,9a,R
1478195721.938938,01f1,8,08,00,00,00,00,00,00,00,R
1478195721.939176,0153,8,00,21,10,ff,00,ff,00,00,R
1478195721.939422,0002,8,00,00,00,00,00,01,0a,94,R
1478195721.939658,0350,8,05,20,44,68,78,00,00,71,R
1478195721.939908,0370,8,00,20,00,00,00,00,00,00,R
1478195721.940148,043f,8,10,40,60,ff,7d,8d,09,00,R
1478195721.940398,02c0,8,15,00,00,00,00,00,00,00,R
1478195721.940641,0130,8,15,80,00,ff,1d,80,0a,07,R
1478195721.940875,0131,8,db,7f,00,00,34,7f,0a,24,R
1478195721.941114,0140,8,00,00,00,00,08,25,2a,47,R
1478195721.941353,0440,8,ff,00,00,00,ff,8d,09,00,R
1478195721.942652,0316,8,05,21,28,0a,21,1e,00,6f,R
1478195721.942891,018f,8,fe,57,00,00,00,41,00,00,R
1478195721.943128,0260,8,18,21,21,30,08,8f,70,39,R
1478195721.943364,02a0,8,64,00,99,1d,97,02,bd,00,R
1478195721.943602,0329,8,40,b8,7f,14,11,20,00,14,R
1478195721.943843,0545,8,d8,00,00,8a,00,00,00,00,R
1478195721.944331,05f0,2,00,00,R,,,,,,
1478195721.945742,02b0,5,ff,7f,00,05,0d,R,,,
1478195721.948436,0002,8,00,00,00,00,00,01,0b,89,R
1478195721.948674,0153,8,00,21,10,ff,00,ff,00,00,R
1478195721.949405,0130,8,10,80,00,ff,1d,80,0b,2e,R
1478195721.949636,0131,8,e9,7f,00,00,25,7f,0b,c2,R
